Name,Symbol,RIC,Type,NAME,COMPANY NAME,ICB INDUSTRY NAME
NANOFILM TECHNOLOGIES INTERNATIONAL,T:NANO,NANO.SI,T:NANO,NANOFILM TECHNOLOGIES INTERNATIONAL,NANOFILM TECHNOLOGIES INTERNATIONAL LTD,Basic Materials
NETLINK,T:NLNK,NETL.SI,T:NLNK,NETLINK,NETLINK NBN TRUST,Telecommunications
PARKWAY LIFE REIT,T:PLRE,PWLR.SI,T:PLRE,PARKWAY LIFE REIT,PARKWAY LIFE REAL ESTATE INVESTMENT TRUST,Real Estate
RAFFLES MEDICAL GP.,T:RMGP,RAFG.SI,T:RMGP,RAFFLES MEDICAL GP.,RAFFLES MEDICAL GROUP LIMITED,Health Care
SATS,T:SATS,SATS.SI,T:SATS,SATS,SATS LIMITED,Consumer Discretionary
SEMBCORP INDUSTRIES,T:SEMB,SCIL.SI,T:SEMB,SEMBCORP INDUSTRIES,SEMBCORP INDUSTRIES LIMITED,Utilities
SEMBCORP MARINE,T:JSHP,SCMN.SI,T:JSHP,SEMBCORP MARINE,SEMBCORP MARINE LIMITED,Industrials
SINGAPORE EXCHANGE,T:SISE,SGXL.SI,T:SISE,SINGAPORE EXCHANGE,SINGAPORE EXCHANGE LIMITED,Financials
SINGAPORE LAND GROUP,T:UICS,SIND.SI,T:UICS,SINGAPORE LAND GROUP,SINGAPORE LAND GROUP LTD,Real Estate
SINGAPORE PRESS HDG.,T:SGPS,SPRM.SI,T:SGPS,SINGAPORE PRESS HDG.,SINGAPORE PRESS HOLDINGS LIMITED,Consumer Discretionary
SINGAPORE TECHS.ENGR.,T:STEN,STEG.SI,T:STEN,SINGAPORE TECHS.ENGR.,SINGAPORE TECHNOLOGIES ENGINEERING LIMITED,Industrials
SUNTEC RLST.IT.,T:SUNT,SUNT.SI,T:SUNT,SUNTEC RLST.IT.,SUNTEC REAL ESTATE INVESTMENT TRUST,Real Estate
UOL GROUP,T:UL@V,UTOS.SI,T:UL@V,UOL GROUP,UOL GROUP LIMITED,Real Estate
VENTURE CORPORATION,T:VEMA,VENM.SI,T:VEMA,VENTURE CORPORATION,VENTURE CORPORATION LIMITED,Industrials
YANGZIJIANG SHIPBUILDING (HOLDINGS),T:YSHL,YAZG.SI,T:YSHL,YANGZIJIANG SHIPBUILDING (HOLDINGS),YANGZIJIANG SHIPBUILDING HOLDINGS LTD,Industrials
8TELECOM INTL.HDG.,T:TELI,ETEL.SI,T:TELI,8TELECOM INTL.HDG. SUSP - SUSP.09/09/19,8TELECOM INTERNATIONAL HOLDINGS CO LTD,Telecommunications
A-SMART HOLDINGS,T:IONE,ASMA.SI,T:IONE,A-SMART HOLDINGS,A-SMART HOLDINGS LTD,Industrials
A-SONIC AEROSPACE,T:ASON,ASON.SI,T:ASON,A-SONIC AEROSPACE,A-SONIC AEROSPACE LTD,Industrials
ABR HOLDINGS,T:ABRH,ABRH.SI,T:ABRH,ABR HOLDINGS,ABR HOLDINGS LIMITED,Consumer Staples
ABTERRA,T:HUAK,ABTR.SI,T:HUAK,ABTERRA SUSP - SUSP.16/07/18,ABTERRA LIMITED,Industrials
ACE ACHIEVE INFOCOM,T:ACHV,ACEA.SI,T:ACHV,ACE ACHIEVE INFOCOM SUSP - SUSP.23/11/18,ACE ACHIEVE INFOCOM LTD,Telecommunications
ACMA,T:ACMA,ACMA.SI,T:ACMA,ACMA,ACMA LTD,Industrials
ADDVALUE TECHS.,T:ADDV,AVAU.SI,T:ADDV,ADDVALUE TECHS.,ADDVALUE TECHNOLOGIES LIMITED,Telecommunications
ADVANCED HOLDINGS,T:ADVH,ADVA.SI,T:ADVH,ADVANCED HOLDINGS,ADVANCED HOLDINGS LIMITED,Industrials
AEI CORPORATION,T:AEIC,AEIC.SI,T:AEIC,AEI CORPORATION,AEI CORPORATION LTD,Basic Materials
