Name,Symbol,RIC,Type,NAME,COMPANY NAME,ICB INDUSTRY NAME
SINGAPORE O&G,T:SINP,-,T:SINP,SINGAPORE O&G,SINGAPORE O&G LTD,Health Care
SINGAPORE POST,T:SIPO,SPOS.SI,T:SIPO,SINGAPORE POST,SINGAPORE POST LTD,Industrials
SINGAPORE SHIPPING CORPORATION,T:SISH,SSHP.SI,T:SISH,SINGAPORE SHIPPING CORPORATION,SINGAPORE SHIPPING CORPORATION LIMITED,Industrials
SINGAPURA FIN.,T:BSOC,SBDS.SI,T:BSOC,SINGAPURA FIN.,SINGAPURA FINANCE LIMITED,Financials
SINGHAIYI GROUP,T:FUTU,SIHL.SI,T:FUTU,SINGHAIYI GROUP,SINGHAIYI GROUP LTD,Consumer Discretionary
SINO GRNS.FOOD IND.GP.,T:SGF,SOGF.SI,T:SGF,SINO GRNS.FOOD IND.GP. SUSP - SUSP.07/12/20,SINO GRANDNESS FOOD INDUSTRY GROUP LIMITED,Consumer Staples
SINOSTAR PEC HDG.,T:SINS,SNSR.SI,T:SINS,SINOSTAR PEC HDG.,SINOSTAR PEC HOLDINGS LIMITED,Energy
SMJ INTERNATIONAL HDG.,T:SMJI,SMJI.SI,T:SMJI,SMJ INTERNATIONAL HDG.,HEALTHBANK HOLDINGS LTD,Consumer Discretionary
SOILBUILD CONSTRUCTION,T:SOIB,SOIL.SI,T:SOIB,SOILBUILD CONSTRUCTION,SOILBUILD CONSTRUCTION GROUP LTD,Industrials
SOUP RESTAURANT GROUP,T:SRGL,SRGL.SI,T:SRGL,SOUP RESTAURANT GROUP,SOUP RESTAURANT GROUP LTD,Consumer Discretionary
SOUTHERN PACK.GP.,T:SPCK,SOUT.SI,T:SPCK,SOUTHERN PACK.GP.,SOUTHERN PACKAGING GROUP LIMITED,Industrials
SP,T:SPPS,SPPS.SI,T:SPPS,SP,SP CORPORATION LIMITED,Industrials
SPH REIT,T:SPHR,SPHR.SI,T:SPHR,SPH REIT,SPH REIT,Real Estate
SPINDEX INDUSTRIES,T:SPID,SNEX.SI,T:SPID,SPINDEX INDUSTRIES,SPINDEX INDUSTRIES LIMITED,Industrials
STAMFORD LAND CORPORATION,T:HAIS,SFLD.SI,T:HAIS,STAMFORD LAND CORPORATION,STAMFORD LAND CORPORATION LIMITED,Consumer Discretionary
STAMFORD TYRES CORPORATION,T:TYRE,STAS.SI,T:TYRE,STAMFORD TYRES CORPORATION,STAMFORD TYRES CORPORATION LIMITED,Consumer Discretionary
STARHILL GLOBAL REIT,T:PRME,STHL.SI,T:PRME,STARHILL GLOBAL REIT,STARHILL GLOBAL REAL ESTATE INVESTMENT TRUST,Real Estate
STARHUB,T:STAH,STAR.SI,T:STAH,STARHUB,STARHUB LTD,Telecommunications
STRACO CORPORATION,T:STRA,STRA.SI,T:STRA,STRACO CORPORATION,"STRACO CORPORATION, LTD.",Consumer Discretionary
STRAITS TRADING,T:TS@V,STCM.SI,T:TS@V,STRAITS TRADING,STRAITS TRADING CO LTD,Basic Materials
SUNMOON FOOD,T:FHTK,SMFC.SI,T:FHTK,SUNMOON FOOD SUSP - SUSP.16/10/20,SUNMOON FOOD COMPANY LIMITED,Consumer Staples
SUNPOWER GROUP,T:SNPG,SUNP.SI,T:SNPG,SUNPOWER GROUP,SUNPOWER GROUP LTD,Industrials
SUNRIGHT,T:SUNR,SNRT.SI,T:SUNR,SUNRIGHT,SUNRIGHT LIMITED,Technology
SUNTAR ECO-CITY,T:REPL,SECL.SI,T:REPL,SUNTAR ECO-CITY,SUNTAR ECO CITY LTD,Basic Materials
SUTL ENTERPRISE,T:ACLI,SUTL.SI,T:ACLI,SUTL ENTERPRISE,SUTL ENTERPRISE LTD,Technology
SWIBER HOLDINGS,T:SWHL,SWBR.SI,T:SWHL,SWIBER HOLDINGS SUSP - SUSP.18/05/17,SWIBER HOLDINGS LTD,Energy
SWING MEDIA TECH.GROUP,T:SWIN,SWMT.SI,T:SWIN,SWING MEDIA TECH.GROUP SUSP - SUSP.02/08/17,SWING MEDIA TECHNOLOGY GROUP LIMITED,Technology
SWISSCO HOLDINGS,T:CHOL,SWCO.SI,T:CHOL,SWISSCO HOLDINGS SUSP - SUSP.11/10/16,SWISSCO HOLDINGS LIMITED,Industrials
TA,T:TACL,TACO.SI,T:TACL,TA,TA CORPORATION LTD,Real Estate
TAI SIN ELECTRIC,T:TSEC,TAIS.SI,T:TSEC,TAI SIN ELECTRIC,TAI SIN ELECTRIC LIMITED,Industrials
TAT SENG PACKAGING GP.,T:TATS,TASE.SI,T:TATS,TAT SENG PACKAGING GP.,TAT SENG PACKAGING GROUP LIMITED,Industrials
TEE INTERNATIONAL,T:TEEI,TEEI.SI,T:TEEI,TEE INTERNATIONAL SUSP - SUSP.21/06/21,TEE INTERNATIONAL LIMITED,Industrials
TELECHOICE INTL.,T:TLCH,TCIN.SI,T:TLCH,TELECHOICE INTL.,TELECHOICE INTERNATIONAL LTD,Telecommunications
THAKRAL CORPORATION,T:HAKR,THAK.SI,T:HAKR,THAKRAL CORPORATION,THAKRAL CORPORATION LIMITED,Industrials
THE PLACE HOLDINGS,T:EUCO,THEP.SI,T:EUCO,THE PLACE HOLDINGS,PLACE HOLDINGS LTD,Industrials
THOMSON MEDICAL GROUP,T:ASPN,THOS.SI,T:ASPN,THOMSON MEDICAL GROUP,THOMSON MEDICAL GROUP LTD,Health Care
TIH,T:RANS,TIHL.SI,T:RANS,TIH,TIH LTD,Financials
TIONG SENG HOLDINGS,T:TSH,TISE.SI,T:TSH,TIONG SENG HOLDINGS,TIONG SENG HOLDINGS LIMITED,Industrials
TIONG WOON HOLDING,T:TION,TION.SI,T:TION,TIONG WOON HOLDING,TIONG WOON CORPORATION HOLDINGS LIMITED,Industrials
TRANSIT-MIXED CONC.,T:TRAM,TMCL.SI,T:TRAM,TRANSIT-MIXED CONC.,TRANSIT-MIXED CONCRETE LIMITED,Industrials
TRAVELITE HOLDINGS,T:TRHL,TRHL.SI,T:TRHL,TRAVELITE HOLDINGS,TRAVELITE HOLDINGS LTD.,Consumer Discretionary
TREK 2000 INTL.,T:TRIN,TRKL.SI,T:TRIN,TREK 2000 INTL.,TREK 2000 INTERNATIONAL LIMITED,Industrials
TRIYARDS HOLDINGS,T:RIY,TRIY.SI,T:RIY,TRIYARDS HOLDINGS SUSP - SUSP.04/09/17,TRIYARDS HOLDINGS LIMITED,Energy
TT INTERNATIONAL,T:TTIN,TINL.SI,T:TTIN,TT INTERNATIONAL SUSP - SUSP.03/08/17,TT INTERNATIONAL LIMITED,Consumer Discretionary
TTJ HOLDINGS,T:TTJH,TTJH.SI,T:TTJH,TTJ HOLDINGS,TTJ HOLDINGS LIMITED,Industrials
TUAN SING HOLDINGS,T:TUAN,TSHS.SI,T:TUAN,TUAN SING HOLDINGS,TUAN SING HOLDINGS LIMITED,Real Estate
TYE SOON,T:TYES,TYES.SI,T:TYES,TYE SOON,TYE SOON LIMITED,Consumer Discretionary
UG HEALTHCARE,T:UGHC,UGHE.SI,T:UGHC,UG HEALTHCARE,UG HEALTHCARE CORPORATION LTD,Health Care
UMS HOLDINGS,T:NORE,UMSH.SI,T:NORE,UMS HOLDINGS,UMS HOLDINGS LIMITED,Industrials
UNI-ASIA GROUP,T:UAFC,UAFC.SI,T:UAFC,UNI-ASIA GROUP,UNI-ASIA GROUP LTD,Financials
UNION GAS HOLDINGS,T:UGAS,UNIO.SI,T:UGAS,UNION GAS HOLDINGS,UNION GAS HOLDINGS LTD,Consumer Discretionary
UNION STEEL HDG.,T:USHD,UNIS.SI,T:USHD,UNION STEEL HDG.,UNION STEEL HOLDINGS LTD,Utilities
UNITED FOOD HOLDINGS,T:UNFH,UTDF.SI,T:UNFH,UNITED FOOD HOLDINGS SUSP - SUSP.08/09/21,UNITED FOOD HOLDINGS LIMITED,Consumer Staples
UNITED HAMPSHIRE US UNITS,T:UNHS,UNIE.SI,T:UNHS,UNITED HAMPSHIRE US UNITS,UNITED HAMPSHIRE US REIT,Real Estate
UNITED OVERSEAS IN.,T:UOSI,UOIS.SI,T:UOSI,UNITED OVERSEAS IN.,UNITED OVERSEAS INSURANCE LIMITED,Financials
UNIVERSAL RSO.AND SVS.,T:SCPS,UNIV.SI,T:SCPS,UNIVERSAL RSO.AND SVS. SUSP - SUSP.13/02/17,UNIVERSAL RESOURCE AND SERVICES LTD,Energy
UOB-KAY HIAN HDG.,T:KHJC,UOKH.SI,T:KHJC,UOB-KAY HIAN HDG.,UOB-KAY HIAN HOLDINGS LTD,Financials
USP GROUP,T:UMSL,USPG.SI,T:UMSL,USP GROUP,USP GROUP LTD,Industrials
VALUEMAX GROUP,T:VALU,VAMG.SI,T:VALU,VALUEMAX GROUP,VALUEMAX GROUP LTD,Consumer Discretionary
VALUETRONICS HOLDINGS,T:VTHL,VLUE.SI,T:VTHL,VALUETRONICS HOLDINGS,VALUETRONICS HOLDINGS LIMITED,Technology
VERSALINK HOLDINGS,T:VERS,-,T:VERS,VERSALINK HOLDINGS,VERSALINK HOLDINGS LTD,Consumer Discretionary
VIBRANT GROUP,T:FERI,VIBR.SI,T:FERI,VIBRANT GROUP,VIBRANT GROUP LTD,Industrials
VIBROPOWER CORPORATION,T:VIPO,VIBO.SI,T:VIPO,VIBROPOWER CORPORATION,VIBROPOWER CORPORATION LIMITED,Industrials
VICOM,T:VICO,VCOM.SI,T:VICO,VICOM,VICOM LIMITED,Industrials
VICPLAS INTL.,T:VICP,VICP.SI,T:VICP,VICPLAS INTL.,VICPLAS INTERNATIONAL LIMITED,Industrials
WEE HUR HOLDINGS,T:WEE,WHHL.SI,T:WEE,WEE HUR HOLDINGS,WEE HUR HOLDINGS LTD,Industrials
WILLAS-ARRAY (SES) ELECTRONICS (HOLDINGS),T:WAES,WLAR.SI,T:WAES,WILLAS-ARRAY (SES) ELECTRONICS (HOLDINGS),WILLAS-ARRAY ELECTRONICS (HOLDINGS) LIMITED,Technology
WING TAI HOLDINGS,T:WING,WTHS.SI,T:WING,WING TAI HOLDINGS,WING TAI HOLDINGS LIMITED,Real Estate
WORLD PRECISION MCH.,T:BWPM,WPML.SI,T:BWPM,WORLD PRECISION MCH.,WORLD PRECISION MACHINERY LTD,Industrials
XMH HOLDINGS,T:XMHH,XMHL.SI,T:XMHH,XMH HOLDINGS,XMH HOLDINGS LTD,Industrials
YAMADA GREEN RESOURCES,T:YMDA,YAMR.SI,T:YMDA,YAMADA GREEN RESOURCES SUSP - SUSP.31/08/17,YAMADA GREEN RESOURCES LTD,Consumer Staples
YANLORD LAND GROUP,T:YNLD,YNLG.SI,T:YNLD,YANLORD LAND GROUP,YANLORD LAND GROUP LTD,Real Estate
YEO HIAP SENG,T:YHSS,YHSS.SI,T:YHSS,YEO HIAP SENG,YEO HIAP SENG LIMITED,Consumer Staples
YHI INTERNATIONAL,T:YHIN,YHII.SI,T:YHIN,YHI INTERNATIONAL,YHI INTERNATIONAL LTD,Consumer Discretionary
YING LI INTL.REAL ESTATE,T:SHWY,YING.SI,T:SHWY,YING LI INTL.REAL ESTATE,YING LI INTERNATIONAL REAL ESTATE LIMITED,Real Estate
YOMA STRATEGIC,T:SVIW,YOMA.SI,T:SVIW,YOMA STRATEGIC,YOMA STRATEGIC HOLDINGS LIMITED,Industrials
YONGMAO HOLDINGS,T:YMO,YNMH.SI,T:YMO,YONGMAO HOLDINGS,YONGMAO HOLDINGS LIMITED,Industrials
YONGNAM HOLDINGS,T:YONG,YNAM.SI,T:YONG,YONGNAM HOLDINGS,YONGNAM HOLDINGS LIMITED,Industrials
YUUZOO NETWORKS GROUP CORPORATION,T:CCCL,YUUZ.SI,T:CCCL,YUUZOO NETWORKS GROUP CORPORATION,YUUZOO NETWORKS GROUP CORP,Consumer Discretionary
ZHENENG JINJIANG ENVIRONMENT HOL,T:CHEJ,ZHEN.SI,T:CHEJ,ZHENENG JINJIANG ENVIRONMENT HOL,ZHENENG JINJIANG ENVIRONMENT HOLDING CO LTD,Utilities
ZHONGMIN BAIHUI RET.GP.,T:ZHNG,ZBRG.SI,T:ZHNG,ZHONGMIN BAIHUI RET.GP.,ZHONGMIN BAIHUI RETL GROUP LIMITED,Consumer Discretionary
AIMS PROPERTY (SES) SECURITIES,T:MPSF,AIMS.SI,T:MPSF,AIMS PROPERTY (SES) SECURITIES,AIMS PROPERTY SECURITIES FUND,Real Estate
AMPLEFIELD NIL PAID 12/12/17,T:AMPN,-,T:AMPN,AMPLEFIELD NIL PAID 12/12/17,AMPLEFIELD LIMITED,Industrials
ANNAIK NRFD,T:ANNA,-,T:ANNA,ANNAIK NRFD,ANNAIK LTD,Basic Materials
ASCOTT RESIDENCE TRUST NIL PAID 31/03/17,9049V8,ASRT_r.SI^C17,9049V8,ASCOTT RESIDENCE TRUST NIL PAID 31/03/17,ASCOTT RESIDENCE TRUST,Real Estate
ASIAN PAY TV.TRUST UNT. FULLY PAID 18/06/20,9744V8,ASIA_rx.SI^F20,9744V8,ASIAN PAY TV.TRUST UNT. FULLY PAID 18/06/20,ASIAN PAY TELEVISION TRUST,Telecommunications
AUSGROUP NIL PAID 12/12/18,T:AUSG,-,T:AUSG,AUSGROUP NIL PAID 12/12/18,AUSGROUP LTD,Industrials
AVJENNINGS (SES),T:LONG,AVJH.SI,T:LONG,AVJENNINGS (SES),AVJENNINGS LIMITED,Consumer Discretionary
BAIDU ADS 1:8 (SES),T:BIDU,BIDU.SI,T:BIDU,BAIDU ADS 1:8 (SES),BAIDU INC,Technology
BM MOBILITY NIL PAID,T:BMBM,BMMO_r.SI^B18,T:BMBM,BM MOBILITY NIL PAID,BM MOBILITY LTD,Basic Materials
CACHE LOGISTICS TRUST REIT 29/09/17,T:CALT,CALT_r.SI^I17,T:CALT,CACHE LOGISTICS TRUST REIT 29/09/17,ARA LOGOS LOGISTICS TRUST,Real Estate
CAPITALAND COML.TST. NIL PAID 19/10/17,9160WM,CACT_r.SI^J17,9160WM,CAPITALAND COML.TST. NIL PAID 19/10/17,CAPITALAND COMMERCIAL TRUST,Real Estate
CDL HOSPITALITY TRUSTS NIL PAID 24/07/17,T:CDTL,CDLT_r.SI^G17,T:CDTL,CDL HOSPITALITY TRUSTS NIL PAID 24/07/17,CDL HOSPITALITY TRUSTS,Real Estate
CHINA ENVIRONMENTAL(SES) RES GP,T:BENH,CERG.SI,T:BENH,CHINA ENVIRONMENTAL(SES) RES GP,CHINA ENVIRONMENTAL RESOURCES GROUP LIMITED,Consumer Discretionary
CROMWELL EUROPN REAL EST FULLY PAID,T:CRO2,-,T:CRO2,CROMWELL EUROPN REAL EST FULLY PAID,CROMWELL EUROPEAN REAL ESTATE INVESTMENT TRUST,Real Estate
CROMWELL EUROPN REAL EST NIL PAID,T:CRO1,-,T:CRO1,CROMWELL EUROPN REAL EST NIL PAID,CROMWELL EUROPEAN REAL ESTATE INVESTMENT TRUST,Real Estate
CWT FULLY PAID 22/05/07,50397R,-,50397R,CWT FULLY PAID 22/05/07,CWT LIMITED,Industrials
FIRST REIT.TRUST NIL PAID 16/02/21,T:FRET,FRET_r.SI^B21,T:FRET,FIRST REIT.TRUST NIL PAID 16/02/21,FIRST REAL ESTATE INVESTMENT TRUST,Real Estate
FJ BENJAMIN HOLDINGS NILL PAID,T:FJBJ,-,T:FJBJ,FJ BENJAMIN HOLDINGS NILL PAID,FJ BENJAMIN HOLDINGS LIMITED,Consumer Discretionary
FRASERS HOSPITALITY TST. FULLY PAID 07/10/16,T:FRTR,-,T:FRTR,FRASERS HOSPITALITY TST. FULLY PAID 07/10/16,FRASERS HOSPITALITY TRUST,Real Estate
FRASERS HOSPITALITY TST. NIL PAID 07/10/16,T:FHHT,FRHO_r.SI^J16,T:FHHT,FRASERS HOSPITALITY TST. NIL PAID 07/10/16,FRASERS HOSPITALITY TRUST,Real Estate
GLOBAL TECH.(HDG.) (SES) NIL PAID 28/04/17,T:GTHS,-,T:GTHS,GLOBAL TECH.(HDG.) (SES) NIL PAID 28/04/17,GUOAN INTERNATIONAL LTD,Telecommunications
GLOBAL YELLOW PAGES NIL PAID,9303PW,GYLP_r.SI^F18,9303PW,GLOBAL YELLOW PAGES NIL PAID,GYP PROPERTIES LTD,Consumer Discretionary
GSH CORPORATION NIL PAID 05/10/21,T:GSHC,GSHC_r.SI,T:GSHC,GSH CORPORATION NIL PAID 05/10/21,GSH CORPORATION LIMITED,Consumer Discretionary
GUOAN INTERNATIONAL(SES),T:GLTH,GUOA.SI,T:GLTH,GUOAN INTERNATIONAL(SES) SUSP - SUSP.30/03/21,GUOAN INTERNATIONAL LTD,Telecommunications
GUTHRIE GTS FULLY PAID 05/06/06,35700J,-,35700J,GUTHRIE GTS FULLY PAID 05/06/06,GUTHRIE GTS LIMITED,Industrials
GUTHRIE GTS NIL PAID 05/06/06,35700H,-,35700H,GUTHRIE GTS NIL PAID 05/06/06,GUTHRIE GTS LIMITED,Industrials
HEALTH MAN.INTL. NIL PAID 09/03/17,T:HMII,HMIH_r.SI^C17,T:HMII,HEALTH MAN.INTL. NIL PAID 09/03/17,HEALTH MANAGEMENT INTERNATIONAL LIMITED,Health Care
HONG LEONG ASIA NIL PAID 19/10/18,T:HON,-,T:HON,HONG LEONG ASIA NIL PAID 19/10/18,HONG LEONG ASIA LIMITED,Industrials
HOTEL ROYAL NIL PAID 12/07/18,T:HOTE,-,T:HOTE,HOTEL ROYAL NIL PAID 12/07/18,HOTEL ROYAL LIMITED,Real Estate
IFS CAPITAL NIL PAID 07/10/16,T:IFAC,IFAC_r.SI^J16,T:IFAC,IFS CAPITAL NIL PAID 07/10/16,IFS CAPITAL LIMITED,Financials
IHH HEALTHCARE (SES),T:IHHH,IHHH.SI,T:IHHH,IHH HEALTHCARE (SES),IHH HEALTHCARE BHD,Health Care
JB FOODS NIL PAID,T:JBFO,-,T:JBFO,JB FOODS NIL PAID,JB FOODS LTD,Consumer Staples
KEPPEL-KBS US REIT UNITS FULLY PAID 19/11/18,T:KEP1,-,T:KEP1,KEPPEL-KBS US REIT UNITS FULLY PAID 19/11/18,KEPPEL PACIFIC OAK US REIT,Real Estate
KEPPEL-KBS US REIT UNITS NIL PAID 19/11/18,T:KEPL,-,T:KEPL,KEPPEL-KBS US REIT UNITS NIL PAID 19/11/18,KEPPEL PACIFIC OAK US REIT,Real Estate
LEADER ENV.TECHS. NIL PAID 29/07/21,T:LDET,LETL_r.SI^G21,T:LDET,LEADER ENV.TECHS. NIL PAID 29/07/21,LEADER ENVIRONMENTAL TECHNOLOGIES LIMITED,Utilities
LIFEBRANDZ NIL PAID,T:LIFR,-,T:LIFR,LIFEBRANDZ NIL PAID,LIFEBRANDZ LTD,Consumer Discretionary
LONZA GROUP (SES),T:LONZ,LONZ.SI,T:LONZ,LONZA GROUP (SES),LONZA GROUP AG,Health Care
LUNG KEE (SES),T:LKEE,LKBH.SI,T:LKEE,LUNG KEE (SES),LUNG KEE (BERMUDA) HOLDINGS LIMITED,Basic Materials
MALAYSIA SMELTING (SES),T:MAL,MYSC.SI,T:MAL,MALAYSIA SMELTING (SES),MALAYSIA SMELTING CORPORATION BERHAD,Basic Materials
MANULIFE US REAL ESTATE INV.TST. 16/10/17,T:MNNU,MANU_r.SI^J17,T:MNNU,MANULIFE US REAL ESTATE INV.TST. 16/10/17,MANULIFE US REAL ESTATE INVESTMENT TRUST,Real Estate
MTQ NIL PAID,T:MTQE,-,T:MTQE,MTQ NIL PAID,MTQ CORPORATION LIMITED,Energy
NAM CHEONG NIL PAID 20/09/18,T:NAMH,-,T:NAMH,NAM CHEONG NIL PAID 20/09/18,NAM CHEONG LTD,Industrials
NETEASE ADR 1:5 (SES),T:NTES,NTES.SI,T:NTES,NETEASE ADR 1:5 (SES),NETEASE INC - ADR,Consumer Discretionary
NOMURA HDG. (SES),T:NOMU,NMHD.SI,T:NOMU,NOMURA HDG. (SES),NOMURA HOLDINGS INC,Financials
NUTRYFARM INTL. NIL PAID,9221AN,-,9221AN,NUTRYFARM INTL. NIL PAID,NUTRYFARM INTERNATIONAL LTD,Technology
OUE COMMERCIAL REIT NIL PAID,T:OUC,-,T:OUC,OUE COMMERCIAL REIT NIL PAID,OUE COMMERCIAL REAL ESTATE INVESTMENT TRUST,Real Estate
PAN-UNITED NIL PAID 12/07/17,T:PANN,PANU_r.SI^G17,T:PANN,PAN-UNITED NIL PAID 12/07/17,PAN-UNITED CORPORATION LIMITED,Industrials
PANOCEAN (SES),T:SPAN,PANOx.SI,T:SPAN,PANOCEAN (SES),PAN OCEAN CO LTD,Industrials
PRUDENTIAL (SES),T:PRUD,PRTL.SI,T:PRUD,PRUDENTIAL (SES),PRUDENTIAL PLC,Financials
RAFFLES EDUCATION NIL PAID,T:RFFT,-,T:RFFT,RAFFLES EDUCATION NIL PAID,RAFFLES EDUCATION CORPORATION LIMITED,Consumer Discretionary
RAFFLES UNITED HOLDINGS FULLY PAID 12/10/06,411902,-,411902,RAFFLES UNITED HOLDINGS FULLY PAID 12/10/06,RAFFLES UNITED HOLDINGS LTD,Basic Materials
RAFFLES UNITED HOLDINGS NIL PAID 12/10/06,411901,-,411901,RAFFLES UNITED HOLDINGS NIL PAID 12/10/06,RAFFLES UNITED HOLDINGS LTD,Basic Materials
SHANGRI-LA ASIA (SES),T:SHAN,SHNG.SI,T:SHAN,SHANGRI-LA ASIA (SES),SHANGRI-LA ASIA LIMITED,Consumer Discretionary
SINGAPORE TELECOM 10,T:ST10,STELy.SI,T:ST10,SINGAPORE TELECOM 10,SINGAPORE TELECOMMUNICATIONS LIMITED,Telecommunications
SINGAPURA FIN. NIL PAID 01/12/14,T:AFNP,SBDS_r.SI^K14,T:AFNP,SINGAPURA FIN. NIL PAID 01/12/14,SINGAPURA FINANCE LIMITED,Financials
SINGHAIYI GROUP NIL PAID,T:SIHL,SIHL_r.SI^C18,T:SIHL,SINGHAIYI GROUP NIL PAID,SINGHAIYI GROUP LTD,Consumer Discretionary
SINO GRNS.FOOD IND.GP. NIL PAID,T:SOGF,SOGF_r.SI^C17,T:SOGF,SINO GRNS.FOOD IND.GP. NIL PAID,SINO GRANDNESS FOOD INDUSTRY GROUP LIMITED,Consumer Staples
SRI TRANG GLOVES (SES) (THAILAND),T:STGT,SRIT.SI,T:STGT,SRI TRANG GLOVES (SES) (THAILAND),SRI TRANG GLOVES (THAILAND) PCL,Basic Materials
SRI TRANG-AGRO IND.(SES),T:SRI,SRTA.SI,T:SRI,SRI TRANG-AGRO IND.(SES),SRI TRANG AGRO-INDUSTRY PUBLIC COMPANY LIMITED,Basic Materials
SUPERBOWL HOLDINGS NIL PAID 11/10/06,411730,-,411730,SUPERBOWL HOLDINGS NIL PAID 11/10/06,SUPERBOWL HOLDINGS LIMITED,Consumer Discretionary
TA NIL PAID 16/05/17,T:TACR,TACO_r.SI^E17,T:TACR,TA NIL PAID 16/05/17,TA CORPORATION LTD,Real Estate
TAN CHONG INTL. (SES),T:TANC,TCIL.SI,T:TANC,TAN CHONG INTL. (SES),TAN CHONG INTERNATIONAL LIMITED,Consumer Discretionary
TEE INTERNATIONAL NIL PAID,T:TEE,-,T:TEE,TEE INTERNATIONAL NIL PAID,TEE INTERNATIONAL LIMITED,Industrials
TOP GLOVE (SES) CORPORATION,T:TOPV,TOPG.SI,T:TOPV,TOP GLOVE (SES) CORPORATION,TOP GLOVE CORPORATION BERHAD,Health Care
TOSEI CORPORATION (SES),T:TOSE,TOSE.SI,T:TOSE,TOSEI CORPORATION (SES),TOSEI CORPORATION,Real Estate
TRIP COM GROUP ADR (SES) 1:1,T:CTRP,TRIP.SI,T:CTRP,TRIP COM GROUP ADR (SES) 1:1,TRIP.COM GROUP LTD,Consumer Discretionary
UNITED OS.AUSTRALIA(SES),T:UOAL,UOAL.SI,T:UOAL,UNITED OS.AUSTRALIA(SES),UNITED OVERSEAS AUSTRALIA LIMITED,Real Estate
YUNNAN ENERGY (SES) INTERNATIONAL,T:TECP,YUNN.SI,T:TECP,YUNNAN ENERGY (SES) INTERNATIONAL,YUNNAN ENERGY INTERNATIONAL CO LTD,Health Care
ABF SINGAPORE BOND INDEX,T:ABFS,ABFB.SI,T:ABFS,ABF SINGAPORE BOND INDEX,NA,Financials
AMTD INTERNATIONAL,T:AMTI,AMTI.SI,T:AMTI,AMTD INTERNATIONAL,NA,Financials
CAPITALAND INTEG. COML. TST.,2602FP,-,2602FP,CAPITALAND INTEG. COML. TST.,NA,Real Estate
CITY DEVELOPMENTS NCCPS PREF.SHS.,T:CTYN,CTDM_p.SI,T:CTYN,CITY DEVELOPMENTS NCCPS PREF.SHS.,NA,Real Estate
FTSE ST FLEDGING WTS.TO SUB FOR ORD,93044H,-,93044H,FTSE ST FLEDGING WTS.TO SUB FOR ORD,NA,Industrials
HYFLUX 6% CPS 10 PREF.,T:HFLU,HYFL_p.SI,T:HFLU,HYFLUX 6% CPS 10 PREF. SUSP - SUSP.23/05/18,NA,Utilities
ICBC CSOP FTSE CHS. GVT. BD IDX.ETF USD,T:ICFC,ICGB-D.SI,T:ICFC,ICBC CSOP FTSE CHS. GVT. BD IDX.ETF USD,NA,Financials
ISHARES J P MRGN. USD AI.CR.BD.IDX.ETF,T:ISAB,BRJP.SI,T:ISAB,ISHARES J P MRGN. USD AI.CR.BD.IDX.ETF,NA,Financials
ISHARES MSCI INDIA INDEX ETF USD,T:MIND,INDI.SI,T:MIND,ISHARES MSCI INDIA INDEX ETF USD,NA,Financials
ISHARES USD ASIA HY BOND ETF USD,T:ISAE,AHYG.SI,T:ISAE,ISHARES USD ASIA HY BOND ETF USD,NA,Financials
KEPPEL DC REIT UNIT NON RFD SUB RTS 23/09/19,9514TV,-,9514TV,KEPPEL DC REIT UNIT NON RFD SUB RTS 23/09/19,NA,Real Estate
LION-OCBC SECS. CHIN. LDRS.ETF SGD,T:LOSC,LICH.SI,T:LOSC,LION-OCBC SECS. CHIN. LDRS.ETF SGD,NA,Financials
LION-OCBC SECS. HSNG. TECH ETF HKD,T:LOSH,LIHS-D.SI,T:LOSH,LION-OCBC SECS. HSNG. TECH ETF HKD,NA,Financials
LION-PHILLIP S-REIT ETF,T:LIOP,LIOP.SI,T:LIOP,LION-PHILLIP S-REIT ETF,NA,Financials
MAPLETREE INDUSTRIAL TRUST DUMMY,2577WG,-,2577WG,MAPLETREE INDUSTRIAL TRUST DUMMY,NA,Real Estate
MEGHMANI ORGANICS GDR,T:MEGH,MEGH.SI,T:MEGH,MEGHMANI ORGANICS GDR SUSP - SUSP.19/05/21,NA,Basic Materials
NIKKO AM SGD INV. GDE. CBD.ETF,T:NKKS,NIKO.SI,T:NKKS,NIKKO AM SGD INV. GDE. CBD.ETF,NA,Financials
NIKKO AM SINGAPORE STI ETF,T:DBSI,NISE.SI,T:DBSI,NIKKO AM SINGAPORE STI ETF,NA,Financials
NIKKOAM- (SES) STRAITSTRADING AI.EX JAP,T:NIKK,NIKK.SI,T:NIKK,NIKKOAM- (SES) STRAITSTRADING AI.EX JAP,NA,Financials
NIKKOAM-ICBCSG CHINA BOND ETF RMB,T:NIC1,NIIC-D.SI,T:NIC1,NIKKOAM-ICBCSG CHINA BOND ETF RMB,NA,Financials
NIKKOAM-ICBCSG CHINA BOND ETF SGD,T:NICB,NIIC.SI,T:NICB,NIKKOAM-ICBCSG CHINA BOND ETF SGD,NA,Financials
OLAM INTERNATIONAL RTS,T:OLA1,OLAM_rx.SI^G21,T:OLA1,OLAM INTERNATIONAL RTS,NA,Consumer Staples
PHILLIP SGD MONEY MARKET ETF SGD,T:PSM1,PHSG.SI,T:PSM1,PHILLIP SGD MONEY MARKET ETF SGD,NA,Financials
PHILLIP SGX APAC DIV REIT ETF (U$),T:PHIL,PHIL.SI,T:PHIL,PHILLIP SGX APAC DIV REIT ETF (U$),NA,Financials
